Graph1,Graph2,Isomorphic
1,2,Yes
1,3,Yes
1,4,Yes
1,5,Yes
1,6,Yes
1,7,No
1,8,No
1,9,No
1,10,No
1,11,No
1,12,Yes
1,13,No
1,14,Yes
1,15,No
1,16,Yes
1,17,No
1,18,Yes
1,19,Yes
1,20,Yes
1,21,No
1,22,No
1,23,No
1,24,No
1,25,Yes
1,26,Yes
1,27,Yes
1,28,Yes
1,29,Yes
1,30,Yes
1,31,Yes
1,32,Yes
1,33,Yes
1,34,Yes
1,35,Yes
1,36,Yes
2,3,Yes
2,4,Yes
2,5,Yes
2,6,Yes
2,7,No
2,8,No
2,9,No
2,10,No
2,11,No
2,12,Yes
2,13,No
2,14,Yes
2,15,No
2,16,Yes
2,17,No
2,18,Yes
2,19,Yes
2,20,Yes
2,21,No
2,22,No
2,23,No
2,24,No
2,25,Yes
2,26,Yes
2,27,Yes
2,28,Yes
2,29,Yes
2,30,Yes
2,31,Yes
2,32,Yes
2,33,Yes
2,34,Yes
2,35,Yes
2,36,Yes
3,4,Yes
3,5,Yes
3,6,Yes
3,7,No
3,8,No
3,9,No
3,10,No
3,11,No
3,12,Yes
3,13,No
3,14,Yes
3,15,No
3,16,Yes
3,17,No
3,18,Yes
3,19,Yes
3,20,Yes
3,21,No
3,22,No
3,23,No
3,24,No
3,25,Yes
3,26,Yes
3,27,Yes
3,28,Yes
3,29,Yes
3,30,Yes
3,31,Yes
3,32,Yes
3,33,Yes
3,34,Yes
3,35,Yes
3,36,Yes
4,5,Yes
4,6,Yes
4,7,No
4,8,No
4,9,No
4,10,No
4,11,No
4,12,Yes
4,13,No
4,14,Yes
4,15,No
4,16,Yes
4,17,No
4,18,Yes
4,19,Yes
4,20,Yes
4,21,No
4,22,No
4,23,No
4,24,No
4,25,Yes
4,26,Yes
4,27,Yes
4,28,Yes
4,29,Yes
4,30,Yes
4,31,Yes
4,32,Yes
4,33,Yes
4,34,Yes
4,35,Yes
4,36,Yes
5,6,Yes
5,7,No
5,8,No
5,9,No
5,10,No
5,11,No
5,12,Yes
5,13,No
5,14,Yes
5,15,No
5,16,Yes
5,17,No
5,18,Yes
5,19,Yes
5,20,Yes
5,21,No
5,22,No
5,23,No
5,24,No
5,25,Yes
5,26,Yes
5,27,Yes
5,28,Yes
5,29,Yes
5,30,Yes
5,31,Yes
5,32,Yes
5,33,Yes
5,34,Yes
5,35,Yes
5,36,Yes
6,7,No
6,8,No
6,9,No
6,10,No
6,11,No
6,12,Yes
6,13,No
6,14,Yes
6,15,No
6,16,Yes
6,17,No
6,18,Yes
6,19,Yes
6,20,Yes
6,21,No
6,22,No
6,23,No
6,24,No
6,25,Yes
6,26,Yes
6,27,Yes
6,28,Yes
6,29,Yes
6,30,Yes
6,31,Yes
6,32,Yes
6,33,Yes
6,34,Yes
6,35,Yes
6,36,Yes
7,8,Yes
7,9,Yes
7,10,Yes
7,11,Yes
7,12,No
7,13,Yes
7,14,No
7,15,Yes
7,16,No
7,17,Yes
7,18,No
7,19,No
7,20,No
7,21,Yes
7,22,Yes
7,23,Yes
7,24,Yes
7,25,No
7,26,No
7,27,No
7,28,No
7,29,No
7,30,No
7,31,No
7,32,No
7,33,No
7,34,No
7,35,No
7,36,No
8,9,Yes
8,10,Yes
8,11,Yes
8,12,No
8,13,Yes
8,14,No
8,15,Yes
8,16,No
8,17,Yes
8,18,No
8,19,No
8,20,No
8,21,Yes
8,22,Yes
8,23,Yes
8,24,Yes
8,25,No
8,26,No
8,27,No
8,28,No
8,29,No
8,30,No
8,31,No
8,32,No
8,33,No
8,34,No
8,35,No
8,36,No
9,10,Yes
9,11,Yes
9,12,No
9,13,Yes
9,14,No
9,15,Yes
9,16,No
9,17,Yes
9,18,No
9,19,No
9,20,No
9,21,Yes
9,22,Yes
9,23,Yes
9,24,Yes
9,25,No
9,26,No
9,27,No
9,28,No
9,29,No
9,30,No
9,31,No
9,32,No
9,33,No
9,34,No
9,35,No
9,36,No
10,11,Yes
10,12,No
10,13,Yes
10,14,No
10,15,Yes
10,16,No
10,17,Yes
10,18,No
10,19,No
10,20,No
10,21,Yes
10,22,Yes
10,23,Yes
10,24,Yes
10,25,No
10,26,No
10,27,No
10,28,No
10,29,No
10,30,No
10,31,No
10,32,No
10,33,No
10,34,No
10,35,No
10,36,No
11,12,No
11,13,Yes
11,14,No
11,15,Yes
11,16,No
11,17,Yes
11,18,No
11,19,No
11,20,No
11,21,Yes
11,22,Yes
11,23,Yes
11,24,Yes
11,25,No
11,26,No
11,27,No
11,28,No
11,29,No
11,30,No
11,31,No
11,32,No
11,33,No
11,34,No
11,35,No
11,36,No
12,13,No
12,14,Yes
12,15,No
12,16,Yes
12,17,No
12,18,Yes
12,19,Yes
12,20,Yes
12,21,No
12,22,No
12,23,No
12,24,No
12,25,Yes
12,26,Yes
12,27,Yes
12,28,Yes
12,29,Yes
12,30,Yes
12,31,Yes
12,32,Yes
12,33,Yes
12,34,Yes
12,35,Yes
12,36,Yes
13,14,No
13,15,Yes
13,16,No
13,17,Yes
13,18,No
13,19,No
13,20,No
13,21,Yes
13,22,Yes
13,23,Yes
13,24,Yes
13,25,No
13,26,No
13,27,No
13,28,No
13,29,No
13,30,No
13,31,No
13,32,No
13,33,No
13,34,No
13,35,No
13,36,No
14,15,No
14,16,Yes
14,17,No
14,18,Yes
14,19,Yes
14,20,Yes
14,21,No
14,22,No
14,23,No
14,24,No
14,25,Yes
14,26,Yes
14,27,Yes
14,28,Yes
14,29,Yes
14,30,Yes
14,31,Yes
14,32,Yes
14,33,Yes
14,34,Yes
14,35,Yes
14,36,Yes
15,16,No
